GEOID,state_sovi_rank,fema_region_sovi_rank,us_sovi_rank
g29119,,26.0,77.0
g29121,,28.0,16.0
g29123,,24.0,36.0
g29125,,84.0,76.0
g29127,,16.0,31.0
g29129,,43.0,30.0
g29131,,65.0,53.0
g29133,,5.0,34.0
g29135,,97.0,96.0
g29137,,58.0,46.0
g29139,,42.0,41.0
g29141,,61.0,20.0
g29143,,4.0,6.0
g29145,,66.0,86.0
g29147,,73.0,79.0
g29149,,47.0,40.0
g29151,,111.0,111.0
g29153,,39.0,27.0
g29155,,1.0,1.0
g29157,,95.0,95.0
g29159,,45.0,65.0
g29161,,91.0,92.0
g29163,,80.0,78.0
g29165,,113.0,113.0
g29167,,76.0,68.0
g29169,,112.0,112.0
g29171,,74.0,58.0
g29173,,107.0,98.0
g29175,,75.0,90.0
g29177,,94.0,93.0
g29179,,23.0,13.0
g29181,,12.0,14.0
g29183,,114.0,115.0
g29185,,35.0,24.0
g29186,,109.0,103.0
g29187,,86.0,83.0
g29189,,77.0,91.0
g29195,,15.0,38.0
g29197,,17.0,28.0
g29199,,34.0,47.0
g29201,,10.0,39.0
g29203,,49.0,60.0
g29205,,44.0,32.0
g29207,,30.0,55.0
g29209,,72.0,8.0
g29211,,11.0,35.0
g29213,,50.0,12.0
g29215,,62.0,57.0
g29217,,9.0,9.0
g29219,,99.0,97.0
g29221,,40.0,70.0
g29223,,33.0,22.0
g29225,,89.0,102.0
g29227,,22.0,5.0
g29229,,25.0,44.0
g29510,,2.0,4.0
g33001,,18.0,23.0
g33003,,22.0,10.0
g33005,,34.0,32.0
g33007,,10.0,7.0
g33009,,32.0,31.0
g33011,,37.0,36.0
g33013,,30.0,35.0
g33015,,39.0,39.0
g33017,,38.0,33.0
g33019,,28.0,24.0
g36001,,37.0,35.0
g36003,,27.0,37.0
g36005,,4.0,1.0
g36007,,29.0,18.0
g36009,,6.0,13.0
g36011,,24.0,33.0
g36013,,17.0,6.0
g36015,,13.0,11.0
g36017,,41.0,28.0
g36019,,18.0,48.0
g36021,,46.0,36.0
g36023,,39.0,26.0
g36025,,11.0,8.0
g36027,,55.0,56.0
g36029,,22.0,15.0
g36031,,8.0,20.0
g36033,,1.0,32.0
g36035,,7.0,9.0
g36037,,50.0,34.0
g36039,,9.0,24.0
g36041,,2.0,7.0
g36043,,23.0,12.0
g36045,,21.0,39.0
g36047,,5.0,2.0
g36049,,52.0,40.0
g36051,,45.0,51.0
g36053,,38.0,50.0
g36055,,40.0,23.0
g36057,,35.0,5.0
g36059,,61.0,61.0
g36061,,3.0,3.0
g36063,,16.0,19.0
g36065,,20.0,10.0
g36067,,31.0,25.0
g36069,,44.0,45.0
g36071,,58.0,53.0
g36073,,28.0,29.0
g36075,,32.0,41.0
g36077,,14.0,16.0
g36079,,60.0,62.0
g36081,,49.0,4.0
g36083,,42.0,43.0
g36085,,56.0,30.0
g36087,,62.0,52.0
g36089,,12.0,22.0
g36091,,54.0,60.0
g36093,,34.0,21.0
g36095,,25.0,49.0
g36097,,26.0,38.0
g36099,,19.0,46.0
g36101,,30.0,31.0
g36103,,59.0,59.0
g36105,,10.0,17.0
g36107,,53.0,55.0
g36109,,51.0,58.0
g36111,,36.0,42.0
g36113,,15.0,27.0
g36115,,33.0,47.0
g36117,,48.0,44.0
g36119,,57.0,54.0
g36121,,47.0,57.0
g36123,,43.0,14.0
g46003,,38.0,29.0
g46005,,14.0,30.0
g46007,,4.0,4.0
g46009,,56.0,46.0
g46011,,61.0,62.0
g46013,,33.0,40.0
g46015,,23.0,28.0
g46017,,19.0,3.0
g46019,,17.0,50.0
g46021,,6.0,26.0
g46023,,24.0,9.0
g46025,,35.0,22.0
g46027,,48.0,58.0
g46029,,45.0,53.0
g46031,,22.0,10.0
g46033,,9.0,32.0
g46035,,51.0,38.0
g46037,,12.0,15.0
g46039,,46.0,54.0
g46041,,13.0,8.0
g46043,,41.0,23.0
g46045,,53.0,42.0
g46047,,2.0,7.0
g46049,,44.0,27.0
g46051,,37.0,41.0
g46053,,16.0,19.0
g46055,,57.0,56.0
g46057,,60.0,52.0
g46059,,29.0,25.0
g46061,,64.0,59.0
g46063,,63.0,63.0
g46065,,54.0,55.0
g46067,,27.0,11.0
g46069,,18.0,18.0
g46071,,47.0,21.0
g46073,,10.0,13.0
g46075,,11.0,37.0
g46077,,49.0,39.0
g46079,,39.0,48.0
g46081,,26.0,34.0
g46083,,65.0,66.0
g46085,,40.0,20.0
g46087,,58.0,43.0
g46089,,15.0,12.0
g46091,,43.0,35.0
g46093,,50.0,60.0
g46095,,8.0,5.0
g46097,,42.0,36.0
g46099,,28.0,57.0
g46101,,59.0,47.0
g46103,,31.0,49.0
g46105,,36.0,33.0
g46107,,5.0,17.0
g46109,,25.0,14.0
g46111,,32.0,44.0
g46113,,1.0,1.0
g46115,,34.0,31.0
g46117,,55.0,61.0
g46119,,66.0,65.0
g46121,,3.0,2.0
g46123,,20.0,24.0
g46125,,52.0,45.0
g46127,,62.0,64.0
g46129,,21.0,16.0
g46135,,30.0,51.0
g46137,,7.0,6.0
g48001,,217.0,226.0
g48003,,215.0,188.0
g48005,,126.0,121.0
g48007,,77.0,52.0
g48009,,216.0,234.0
g48011,,90.0,113.0
g48013,,150.0,94.0
g48015,,210.0,195.0
g48017,,78.0,99.0
g48019,,189.0,171.0
g48021,,231.0,219.0
g48023,,41.0,65.0
g48025,,123.0,128.0
g48027,,155.0,182.0
g48029,,63.0,85.0
g48031,,193.0,174.0
g48033,,251.0,236.0
g48035,,61.0,67.0
g48037,,171.0,184.0
g48039,,239.0,243.0
g48041,,166.0,213.0
g48043,,165.0,167.0
g48045,,117.0,127.0
g48047,,1.0,1.0
g48049,,85.0,109.0
g48051,,190.0,163.0
g48053,,143.0,129.0
g48055,,156.0,124.0
g48057,,140.0,134.0
g48059,,178.0,198.0
g48061,,6.0,11.0
g48063,,96.0,92.0
g48065,,218.0,232.0
g48067,,54.0,64.0
g48069,,75.0,74.0
g48071,,252.0,250.0
g48073,,93.0,98.0
g48075,,164.0,203.0
g48077,,188.0,205.0
g48079,,172.0,132.0
g48081,,50.0,40.0
g48083,,26.0,45.0
g48085,,248.0,251.0
g48087,,65.0,49.0
g48089,,131.0,118.0
g48091,,230.0,220.0
g48093,,42.0,61.0
g48095,,224.0,217.0
g48097,,137.0,153.0
g48099,,129.0,175.0
g48101,,7.0,15.0
g48103,,174.0,144.0
g48105,,98.0,63.0
g48107,,21.0,26.0
g48109,,8.0,10.0
g48111,,197.0,194.0
g48113,,72.0,149.0
g48115,,122.0,160.0
g48117,,87.0,73.0
g48119,,71.0,112.0
g48121,,241.0,247.0
g48123,,106.0,87.0
g48125,,51.0,60.0
g48127,,11.0,5.0
g48129,,154.0,152.0
g48131,,16.0,6.0
g48133,,58.0,69.0
g48135,,187.0,142.0
g48137,,47.0,28.0
g48139,,222.0,228.0
g48141,,19.0,24.0
g48143,,186.0,199.0
g48145,,39.0,36.0
g48147,,146.0,193.0
g48149,,148.0,131.0
g48151,,57.0,81.0
g48153,,35.0,35.0
g48155,,3.0,7.0
g48157,,247.0,249.0
g48159,,115.0,122.0
g48161,,203.0,197.0
g48163,,68.0,58.0
g48165,,235.0,218.0
g48167,,208.0,215.0
g48169,,111.0,86.0
g48171,,74.0,54.0
g48173,,253.0,253.0
g48175,,132.0,90.0
g48177,,104.0,68.0
g48179,,159.0,191.0
g48181,,108.0,138.0
g48183,,153.0,162.0
g48185,,199.0,187.0
g48187,,213.0,211.0
g48189,,64.0,76.0
g48191,,24.0,34.0
g48193,,29.0,41.0
g48195,,161.0,133.0
g48197,,31.0,37.0
g48199,,225.0,233.0
g48201,,102.0,178.0
g48203,,202.0,192.0
g48205,,250.0,252.0
g48207,,97.0,102.0
g48209,,221.0,235.0
g48211,,183.0,150.0
g48213,,147.0,143.0
g48215,,13.0,16.0
g48217,,103.0,130.0
g48219,,157.0,136.0
g48221,,207.0,196.0
g48223,,114.0,151.0
g48225,,119.0,103.0
g48227,,86.0,91.0
